,city_name,country,Latitude,Max Temperature,Humidity,Wind Speed (mph),Cloudiness %,Date
395,hualmay,pe,-11.1,73.15,64.0,4.94,0.0,2017-12-11
413,santarem,br,-2.44,93.2,52.0,5.82,20.0,2017-12-11
419,coquimbo,cl,-29.95,62.6,77.0,9.17,90.0,2017-12-11
429,general roca,ar,-39.03,89.6,27.0,18.34,0.0,2017-12-11
432,ixtapa,mx,20.7,84.2,26.0,6.93,90.0,2017-12-11
453,necochea,ar,-38.55,70.76,77.0,4.61,0.0,2017-12-11
459,alta floresta,br,-9.88,84.2,74.0,2.24,75.0,2017-12-11
474,villa maria,ar,-32.41,80.48,49.0,7.74,8.0,2017-12-11
479,coracao de jesus,br,-16.69,71.6,94.0,4.7,90.0,2017-12-11
482,urubicha,bo,-15.38,88.58,65.0,3.83,12.0,2017-12-11
497,pimentel,pe,-6.84,75.2,64.0,19.46,0.0,2017-12-11
499,aripuana,br,-9.17,75.31,100.0,2.93,100.0,2017-12-11
500,doka,sd,13.52,79.58,20.0,10.42,0.0,2017-12-11
502,bilma,ne,18.69,58.66,40.0,3.6,20.0,2017-12-11
503,mecca,sa,59.43,8.49,89.0,2.57,64.0,2017-12-11
505,evensk,ru,61.95,2.86,100.0,8.86,48.0,2017-12-11
506,almaznyy,ru,48.04,35.71,92.0,11.54,92.0,2017-12-11
507,orlik,ru,60.4,37.4,99.0,1.12,20.0,2017-12-11
509,dikson,ru,73.51,3.98,100.0,16.46,44.0,2017-12-11
511,butaritari,ki,57.31,14.43,90.0,2.68,88.0,2017-12-11
513,pastavy,by,7.11,77.38,68.0,2.13,8.0,2017-12-11
514,sarangani,ph,21.12,60.46,90.0,1.01,0.0,2017-12-11
515,chagda,ru,33.77,39.2,48.0,17.22,75.0,2017-12-11
518,kysyl-syr,ru,63.9,-35.85,0.0,3.27,32.0,2017-12-11
519,fiche,et,9.8,43.09,45.0,4.83,0.0,2017-12-11
520,ouesso,cg,50.23,-14.2,60.0,3.13,8.0,2017-12-11
521,islamkot,pk,24.7,59.47,77.0,5.39,0.0,2017-12-11
522,pevek,ru,69.7,-3.94,93.0,17.58,56.0,2017-12-11
524,severo-kurilsk,ru,2.04,80.35,98.0,23.94,8.0,2017-12-11
